Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Socrata ID
resident permit holders only,6,at any time,N/A,N/A,N/A,N/A,New Oxford Street,WC1A 2SL,CA-C,CA-C,29,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530229,181476,"LINESTRING (530249.340949719 181481.610684551,530249.621281796 181479.671239711,530232.636455928 181477.081980879,530226.460905163 181475.962301384,530219.99677726 181474.952590411,530219.683464938 181476.89203525)","LINESTRING (-0.12422881760795 51.517258270616,-0.124225495785296 51.5172407770015,-0.124471098719381 51.5172214204438,-0.124560463786512 51.5172127806016,-0.124653944853282 51.517205195393,-0.124657741881012 51.5172226965922)",46042461,Defined By Custodian,4/9/17 23:31,1412
solo motorcycles,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,New Oxford Street,WC1A 2SL,CA-C,N/A,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530254,181474,"LINESTRING (530260.183205066 181473.073128401,530259.944098295 181475.142536039,530249.068862702 181473.363045413,530249.365684902 181471.293637775)","LINESTRING (-0.124075799532684 51.5171790493444,-0.124078479505079 51.5171977013913,-0.124235781724657 51.5171842149425,-0.124232270364885 51.5171655496041)",46042462,Defined By Custodian,4/9/17 23:31,1413
bus cage,,at any time,N/A,N/A,N/A,N/A,New Oxford Street,WC1A 1BA,CA-C,N/A,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530291,181485,"LINESTRING (530305.852598506 181490.368177745,530306.388527477 181487.708938944,530277.555548807 181483.320195209,530277.102070446 181485.699514136)","LINESTRING (-0.123411596973559 51.5173239508094,-0.123404859739513 51.5172999297666,-0.12382178706603 51.5172671335393,-0.12382744027601 51.5172886200331)",46042463,Defined By Custodian,4/9/17 23:31,1414
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Coptic Street,WC1A 1NL,CA-C,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530094,181523,"LINESTRING (530094.812014562 181527.657503786,530093.261943075 181526.627798536,530096.716623676 181521.049395337,530098.291430346 181522.019117757)","LINESTRING (-0.126437653592271 51.5177076499024,-0.126460360584421 51.5176987529584,-0.126412656460466 51.5176478271091,-0.126389615319452 51.5176561793099)",46042464,Defined By Custodian,4/9/17 23:31,1415
solo motorcycles,1,at any time,N/A,N/A,N/A,N/A,Lincoln's Inn Fields,WC2A 3TN,CA-C,N/A,17,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530898,181400,"LINESTRING (530896.660696766 181409.411351395,530894.813803079 181408.651568881,530902.094192032 181392.286253403,530903.842144985 181393.016044503)","LINESTRING (-0.114931738057683 51.5164599695265,-0.114958621751345 51.5164535692125,-0.114859830466361 51.5163048159002,-0.114834383067397 51.5163109695769)",46042465,Defined By Custodian,4/9/17 23:31,1416
solo motorcycles,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Gate Street,WC2B 6AQ,CA-C,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530559,181481,"LINESTRING (530565.926560818 181482.370467065,530559.107895287 181481.330764677,530559.388227364 181478.301631757)","LINESTRING (-0.119668488998904 51.5171920860875,-0.119767088524968 51.5171843171259,-0.119764171688506 51.5171570308213)",46042466,Defined By Custodian,4/9/17 23:31,1417
paid-for,2,mon-sat 08:30-18:30,2 hours,å£5.55 p/h,13295,C111,Shaftesbury Avenue,WC2H 8AL,CA-C,N/A,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530013,181161,"LINESTRING (530007.109299629 181159.442904119,530010.695901208 181156.813656733,530016.739530995 181165.49117282,530013.078723867 181167.640557565)","LINESTRING (-0.127836608981272 51.5144188115734,-0.127785919933821 51.5143943589384,-0.127695676091511 51.5144709511595,-0.127747610773229 51.5144911085429)",46042467,Defined By Custodian,4/9/17 23:31,1418
bus cage,,at any time,N/A,N/A,N/A,N/A,Vernon Place,WC1A 2RA,CA-C,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530390,181632,"LINESTRING (530381.377358192 181627.858821457,530382.309050096 181626.489213503,530398.156057532 181637.616028486,530396.721416901 181639.545476187)","LINESTRING (-0.122272932952843 51.5185421152415,-0.12226001883688 51.5185295922821,-0.122027641553132 51.5186259301317,-0.122047593304588 51.5186436001609)",46042468,Defined By Custodian,4/9/17 23:31,1419
solo motorcycles,1,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Netherhall Gardens,NW3 6PE,CA-B,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526545,185278,"LINESTRING (526548.264942412 185277.734055539,526547.357985691 185279.553534719,526543.804364357 185277.864018338,526544.711321078 185275.994553467)","LINESTRING (-0.176176839427196 51.5522138881339,-0.17618925954082 51.5522304426962,-0.17624109340645 51.5522160555676,-0.176228691243281 51.5521990517981)",46035089,Defined By Custodian,4/9/17 23:31,142
business scheme a,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Red Lion Street,WC1R 4PS,CA-D,BUSA,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530739,181719,"LINESTRING (530740.936227749 181723.181535614,530738.561650152 181722.36177027,530740.532219755 181717.063286945,530742.766631314 181717.913043704)","LINESTRING (-0.117058438095352 51.5193157153629,-0.117092946426594 51.5193088975534,-0.117066525254988 51.51926082669,-0.117034024853937 51.5192679464234)",46042469,Defined By Custodian,4/9/17 23:31,1420
business scheme a,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Princeton Street,WC1R 4BB,CA-D,BUSA,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530705,181754,"LINESTRING (530709.003106105 181753.84275893,530708.252805545 181755.462295343,530703.437689862 181753.36289629,530704.286931155 181751.693374185)","LINESTRING (-0.117507055934071 51.519598637809,-0.117517263554417 51.5196133653471,-0.117587401058882 51.5195956120576,-0.117575786745032 51.5195804124531)",46042470,Defined By Custodian,4/9/17 23:31,1421
taxi rank,,at any time,N/A,N/A,N/A,N/A,Bedford Row,WC1R 4HD,CA-D,N/A,17,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530775,181857,"LINESTRING (530775.821081268 181849.055504565,530778.319334782 181849.99523557,530772.349910545 181864.89097171,530769.925862581 181863.901255013)","LINESTRING (-0.116509273235173 51.5204388230396,-0.116472937955221 51.5204466901392,-0.116553403739465 51.5205819324394,-0.11658868872672 51.520573598953)",46042471,Defined By Custodian,4/9/17 23:31,1422
loading,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Baldwin's Gardens,EC1N 7UY,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531235,181835,"LINESTRING (531232.061537298 181836.709038704,531232.861308224 181834.829576695,531238.616360873 181837.028947132,531237.750629457 181838.848426311)","LINESTRING (-0.109941831311432 51.5202221575303,-0.10993101012296 51.5202050820447,-0.109847292127418 51.5202235109324,-0.109859085746504 51.5202400626983)",46042472,Defined By Custodian,4/9/17 23:31,1423
ambulance,2,at any time,N/A,N/A,N/A,N/A,Queen Square,WC1N 3HR,CA-D,N/A,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530387,181983,"LINESTRING (530386.332639913 181988.995447173,530384.840283854 181988.295647489,530390.710767358 181977.858635053,530392.302064151 181978.798366058)","LINESTRING (-0.122068061649082 51.5217863624125,-0.122089818154686 51.5217804177672,-0.122009110744348 51.5216852706695,-0.121985840306116 51.5216933486469)",46042473,Defined By Custodian,4/9/17 23:31,1424
taxi rank,,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Queen Square,WC1N 3HR,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530400,181954,"LINESTRING (530395.880420668 181959.903774578,530398.189037777 181955.934910654,530400.225567869 181954.175414304,530401.20673014 181953.725543078,530400.728516596 181951.686126855)","LINESTRING (-0.121941278675676 51.5215227253003,-0.12190948993804 51.5214865262651,-0.121880803869095 51.5214702446693,-0.12186683638014 51.5214659755565,-0.121874479139627 51.5214477584475)",46042474,Defined By Custodian,4/9/17 23:31,1425
taxi rank,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1X 8TY,CA-D,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530886,182181,"LINESTRING (530885.917382151 182187.168720664,530884.078733526 182186.099026861,530889.108220797 182177.271553699,530890.946869423 182178.331250364)","LINESTRING (-0.114797882942158 51.5234518208575,-0.114824767039844 51.5234426336796,-0.11475558983335 51.5233621406599,-0.114728709480434 51.5233712379826)",46042475,Defined By Custodian,4/9/17 23:31,1426
permit holders only,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Brownlow Mews,WC1N 2JX,CA-D,CA-D,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530858,182135,"LINESTRING (530858.172751546 182132.324419682,530859.557921811 182133.044213643,530857.208079397 182137.352980271,530855.798173949 182136.523217788)","LINESTRING (-0.11521791521781 51.5229653821837,-0.115197693937701 51.5229715300283,-0.115229946063481 51.5230107949283,-0.115250564485229 51.523003664565)",46042476,Defined By Custodian,4/9/17 23:31,1427
business scheme a,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Long Yard,WC1N 3LU,CA-D,BUSA,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530639,182126,"LINESTRING (530642.638609302 182128.94538692,530640.668039699 182126.556070854,530637.427730686 182126.296145257,530639.587936695 182128.835418398)","LINESTRING (-0.118324068513041 51.5229848646741,-0.118353340877808 51.5229638482781,-0.118400115816024 51.5229622612118,-0.118368056094252 51.5229845813985)",46042477,Defined By Custodian,4/9/17 23:31,1428
loading,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Back Hill,EC1R 5EN,CA-D,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531254,182082,"LINESTRING (531251.486901252 182075.450699615,531253.11942335 182075.060811219,531254.743700387 182082.708622056,531255.106483075 182086.297594723,531253.523431344 182086.477543214)","LINESTRING (-0.10957317254293 51.5223631079918,-0.109549800580458 51.5223592252389,-0.109523556073701 51.5224275754197,-0.109516994367884 51.5224597436031,-0.10953973186997 51.5224617282465)",46042478,Defined By Custodian,4/9/17 23:31,1429
solo motorcycles,1,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Frognal,NW3 6AG,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526248,185163,"LINESTRING (526247.493358505 185160.427634153,526249.373232436 185160.787531134,526248.169453516 185166.98575691,526246.264844401 185166.665848483)","LINESTRING (-0.18055462991087 51.551226988388,-0.180527402392507 51.5512298025099,-0.180542532532812 51.5512857741003,-0.180570102305347 51.5512833248753)",46035090,Defined By Custodian,4/9/17 23:31,143
business scheme a,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Barbon Close,WC1N 3JX,CA-D,BUSA,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530514,181960,"LINESTRING (530516.200597317 181963.46275583,530517.099308977 181961.653273789,530512.185252561 181959.084009233,530511.261805717 181960.723539923)","LINESTRING (-0.120206727668262 51.5215269450735,-0.120194451163479 51.5215104765369,-0.12026618972783 51.5214885220235,-0.120278885455231 51.5215034689802)",46042479,Defined By Custodian,4/9/17 23:31,1430
bus cage,,at any time,N/A,N/A,N/A,N/A,Procter Street,WC1V 6NZ,CA-D,N/A,24,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530582,181646,"LINESTRING (530581.328334954 181656.610591349,530578.145741369 181655.15100915,530580.569789333 181650.202425667,530583.892548957 181642.394660617,530586.036264843 181635.556617986,530589.7547874 181637.056188738)","LINESTRING (-0.11938214872238 51.5187543537121,-0.119428532037165 51.5187419720435,-0.119395447153129 51.5186969413582,-0.119350475457259 51.5186260088267,-0.119322128148275 51.5185640630755,-0.119268010533789 51.5185766802877)",46042480,Defined By Custodian,4/9/17 23:31,1431
bus cage,,at any time,N/A,N/A,N/A,N/A,Procter Street,WC1R 4QG,CA-D,N/A,23,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530567,181676,"LINESTRING (530566.701596561 181687.18184042,530563.420062243 181685.462332624,530572.184562193 181667.677423501,530575.696958222 181669.486905542)","LINESTRING (-0.119581521176244 51.5190324626835,-0.119629426109696 51.5190177679418,-0.119509761997007 51.5188559183914,-0.119458498483007 51.5188713683332)",46042481,Defined By Custodian,4/9/17 23:31,1432
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1X 8AA,CA-D,N/A,19,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531018,181925,"LINESTRING (531016.659316031 181934.910928706,531014.490864962 181934.051174808,531022.142281664 181916.616165527,531024.154076572 181917.50591084)","LINESTRING (-0.113008159555518 51.521154609383,-0.113039715459064 51.5211473856627,-0.112935973434092 51.520988931968,-0.112906663108488 51.5209964614854)",46042482,Defined By Custodian,4/9/17 23:31,1433
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1R 5LP,CA-D,N/A,49,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531017,181912,"LINESTRING (531024.525104322 181889.283989281,531026.718290575 181890.173734594,531007.457827843 181934.34109182,531005.050270001 181933.31138657)","LINESTRING (-0.112911802226838 51.5207427578001,-0.112879879136978 51.5207502452761,-0.113140918687624 51.5211516207439,-0.113175982026797 51.5211429251156)",46042483,Defined By Custodian,4/9/17 23:31,1434
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1R 5JP,CA-D,N/A,28,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531090,181739,"LINESTRING (531092.439672612 181725.880762968,531095.581040891 181727.070422432,531085.843623731 181751.633391355,531082.908381979 181750.263783401)","LINESTRING (-0.111994230695103 51.5192585842116,-0.111948539052736 51.5192685467977,-0.112079672675669 51.5194915407122,-0.112122462243177 51.5194799131736)",46042484,Defined By Custodian,4/9/17 23:31,1435
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1R 5ET,CA-D,N/A,28,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531100,181712,"LINESTRING (531103.174742165 181698.748529489,531105.640015434 181699.878206123,531096.116969863 181725.0809919,531093.272423783 181724.05128665)","LINESTRING (-0.111849682512783 51.5190122700622,-0.111813752071237 51.5190218503258,-0.111941558678065 51.5192505444263,-0.111982915316045 51.5192419504593)",46042485,Defined By Custodian,4/9/17 23:31,1436
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1X 8HN,CA-D,N/A,39,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531115,181689,"LINESTRING (531112.285534682 181705.496597875,531109.317312686 181704.536872593,531115.006404845 181689.791093529,531122.888683258 181670.10672812,531125.807434888 181671.31638186)","LINESTRING (-0.11171593961134 51.5190707992981,-0.111759051585058 51.5190628629656,-0.111682584899799 51.518929030117,-0.111576363177634 51.5187503077841,-0.111533871150507 51.5187605015187)",46042486,Defined By Custodian,4/9/17 23:31,1437
bus cage,,at any time,N/A,N/A,N/A,N/A,Theobald's Road,WC1X 8SP,CA-D,N/A,54,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530663,181824,"LINESTRING (530641.566751359 181810.256610633,530639.983699628 181813.66563481,530686.329188077 181836.029233297,530687.862769442 181832.950114685)","LINESTRING (-0.118457552820494 51.5201211911351,-0.118479093644493 51.5201521923836,-0.117803213719957 51.5203424540858,-0.117782263648591 51.5203144288741)",46042487,Defined By Custodian,4/9/17 23:31,1438
bus cage,,at any time,N/A,N/A,N/A,N/A,Theobald's Road,WC1X 8WB,CA-D,N/A,44,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530601,181806,"LINESTRING (530581.427275688 181802.758756871,530583.579236635 181798.180067508,530618.711441987 181814.775317167,530616.18845329 181819.104078072)","LINESTRING (-0.11932662134028 51.5200677038095,-0.119297318024787 51.520026060022,-0.118785103939863 51.5201670793963,-0.118819843984201 51.5202065630189)",46042488,Defined By Custodian,4/9/17 23:31,1439
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Maresfield Gardens,NW3 5SS,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526531,184630,"LINESTRING (526527.808945821 184632.27881518,526527.88315137 184630.309378925,526534.479200251 184630.529315969,526534.39674964 184632.468760809)","LINESTRING (-0.17670363633018 51.5464178750954,-0.17670327428369 51.5464001594758,-0.176608123166002 51.5464006585178,-0.176608614790595 51.5464181064564)",46035091,Defined By Custodian,4/9/17 23:31,144
bus cage,,at any time,N/A,N/A,N/A,N/A,Theobald's Road,WC1X 8PF,CA-D,N/A,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530925,181945,"LINESTRING (530912.021245597 181943.938344635,530913.282739946 181940.69927181,530938.405441121 181950.706407297,530937.012025795 181954.165417166)","LINESTRING (-0.11451212170631 51.5212599733627,-0.114495152058939 51.5212305731482,-0.114129543567509 51.5213146850484,-0.114148331690204 51.521346092342)",46042489,Defined By Custodian,4/9/17 23:31,1440
bus cage,,at any time,N/A,N/A,N/A,N/A,Theobald's Road,WC1R 5LN,CA-D,N/A,38,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530957,181953,"LINESTRING (530976.101860475 181957.844364078,530974.964042043 181960.413628634,530940.639852679 181946.427632084,530941.645750134 181943.938344635)","LINESTRING (-0.113583873737692 51.5213700990202,-0.113599310012789 51.5213934514421,-0.114098945209878 51.5212757161102,-0.114085379351627 51.5212531130234)",46042490,Defined By Custodian,4/9/17 23:31,1441
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1X 8AP,CA-D,N/A,33,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530959,182039,"LINESTRING (530962.58820533 182024.115394193,530965.820269282 182025.674947776,530953.205325797 182053.027118298,530949.503293363 182051.387587609)","LINESTRING (-0.113753931421201 51.5219687776133,-0.11370679356688 51.5219820439201,-0.113878359395394 51.5222307677756,-0.113932297213992 51.5222168915405)",46042491,Defined By Custodian,4/9/17 23:31,1442
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1X 8AX,CA-D,N/A,28,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530971,182024,"LINESTRING (530969.200744333 182037.811473731,530965.960435321 182036.361888671,530977.000572135 182013.618398927,530980.174920659 182015.047989711)","LINESTRING (-0.113653590090072 51.5220903263368,-0.11370080600934 51.5220780502008,-0.113550215657148 51.5218711070799,-0.113503957516305 51.5218832187593)",46042492,Defined By Custodian,4/9/17 23:31,1443
bus cage,,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1X 8WD,CA-D,N/A,22,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530834,182243,"LINESTRING (530837.823940748 182233.75538537,530840.60252634 182236.204684265,530829.257322264 182251.120414682,530826.140689168 182248.641124371)","LINESTRING (-0.115473420988591 51.5238816073081,-0.115432484272115 51.5239029749906,-0.115590388494718 51.5240396417639,-0.115636206277399 51.5240180827391)",46042493,Defined By Custodian,4/9/17 23:31,1444
bus cage,,at any time,N/A,N/A,N/A,N/A,Clerkenwell Road,EC1R 5EE,CA-D,N/A,39,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531097,182017,"LINESTRING (531079.272310033 182014.44816141,531080.22049206 182011.489008458,531115.352697412 182023.215651742,531114.247859224 182026.2547818)","LINESTRING (-0.112076659983001 51.5218548611995,-0.112064100998079 51.5218280488038,-0.111553654958442 51.5219252841785,-0.111568440605611 51.521952851674)",46042494,Defined By Custodian,4/9/17 23:31,1445
bus cage,,at any time,N/A,N/A,N/A,N/A,Clerkenwell Road,EC1N 7SN,CA-D,N/A,25,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531118,182017,"LINESTRING (531108.195984376 182011.149105755,531107.264292471 182014.218227228,531128.998273534 182021.126249827,531129.880495072 182018.197088291)","LINESTRING (-0.111661234643214 51.5218185073686,-0.111673514965435 51.5218463042177,-0.11135786408221 51.5219033428967,-0.111346244533473 51.5218768152464)",46042495,Defined By Custodian,4/9/17 23:31,1446
bus cage,,at any time,N/A,N/A,N/A,N/A,Clerkenwell Road,EC1R 5DL,CA-D,N/A,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531269,182041,"LINESTRING (531255.188933686 182044.35959935,531255.395060214 182041.420440675,531283.873501257 182042.520125894,531283.791050646 182045.469281706)","LINESTRING (-0.109531414282834 51.5220828474063,-0.109529538801644 51.5220563867123,-0.109118890219711 51.5220596566608,-0.109118980157081 51.522086178479)",46042496,Defined By Custodian,4/9/17 23:31,1447
bus cage,,at any time,N/A,N/A,N/A,N/A,Clerkenwell Road,EC1N 8JD,CA-D,N/A,26,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531300,182040,"LINESTRING (531312.929096577 182038.521270554,531312.5003534 182041.920297593,531289.471897745 182038.551261969,531289.950111288 182035.022272132)","LINESTRING (-0.108701825845803 51.5220169729495,-0.108706736476583 51.5220476179773,-0.109039721304223 51.5220226902948,-0.109034146198505 51.521990865876)",46042497,Defined By Custodian,4/9/17 23:31,1448
bus cage,,at any time,N/A,N/A,N/A,N/A,Vine Hill,EC1R 4TF,CA-D,N/A,32,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531103,182118,"LINESTRING (531110.298474957 182132.464379619,531107.594094915 182132.994227951,531100.132314619 182103.322721332,531102.828449599 182102.672907339)","LINESTRING (-0.111585848772392 51.5229082244361,-0.11162460986702 51.5229136131188,-0.111743130719502 51.52264869933,-0.111704533203474 51.5226422345242)",46042498,Defined By Custodian,4/9/17 23:31,1449
bus cage,1,at any time,N/A,N/A,N/A,N/A,Fitzjohn's Avenue,NW3 6PG,CA-B,N/A,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526567,185083,"LINESTRING (526565.274503464 185076.311712085,526568.135539666 185076.381692054,526567.838717466 185090.477657126,526564.994171387 185090.337697189)","LINESTRING (-0.176004043415952 51.5503999294254,-0.175962777136841 51.5503999171879,-0.175961989028767 51.5505266616727,-0.176003042874396 51.5505260413186)",46035092,Defined By Custodian,4/9/17 23:31,145
bus cage,,at any time,N/A,N/A,N/A,N/A,Rosebery Avenue,EC1R 4PT,CA-D,N/A,35,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531106,182149,"LINESTRING (531099.299563448 182134.053924616,531102.16059965 182133.24415641,531109.993407696 182166.214718685,531107.190086921 182166.834541262)","LINESTRING (-0.111743703211843 51.5229250596507,-0.111702789431735 51.5229171191674,-0.111577696236119 51.5232115939401,-0.111617849442395 51.5232178141304)",46042499,Defined By Custodian,4/9/17 23:31,1450
bus cage,,at any time,N/A,N/A,N/A,N/A,Eagle Street,WC1V 6NX,CA-D,N/A,25,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530591,181614,"LINESTRING (530599.500449621 181601.776287505,530595.427389437 181601.006507852,530591.799562553 181614.732578805,530589.960913927 181621.470650052,530594.083444478 181622.240429705)","LINESTRING (-0.119140692901395 51.5182573835123,-0.119199646806752 51.5182514065713,-0.119246821228678 51.5183755949841,-0.119270811083874 51.5184365718943,-0.119211144366106 51.5184425374427)",46042500,Defined By Custodian,4/9/17 23:31,1451
trader,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Eyre Street Hill,EC1R 5EW,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531187,182153,"LINESTRING (531190.201362087 182150.13932022,531187.876254857 182150.059343113,531187.851519673 182156.147600367,531190.135401599 182156.167594644)","LINESTRING (-0.110428229858043 51.5230485245738,-0.110461754125763 51.5230483454105,-0.110459845702168 51.523103063479,-0.11042693758259 51.5231027131703)",46042501,Defined By Custodian,4/9/17 23:31,1452
disabled (blue badge),2,at any time,N/A,N/A,N/A,N/A,Gray's Inn Road,WC1X 8TT,CA-D,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530912,182122,"LINESTRING (530913.868139284 182116.388981154,530915.723278032 182117.298720743,530909.910509955 182127.925678808,530908.088351452 182126.995944942)","LINESTRING (-0.114421505744401 51.5228092829962,-0.114394443771658 51.5228170288298,-0.114474235179177 51.5229138746013,-0.114500829519208 51.5229059414335)",46042503,Defined By Custodian,4/9/17 23:31,1454
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Laystall Street,EC1R 5EQ,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",531112,182064,"LINESTRING (531116.292634377 182064.683781613,531115.196041251 182062.984268094,531109.548174396 182066.373297994,531110.628277401 182068.012828683)","LINESTRING (-0.111524698647398 51.5222977212273,-0.111541127273851 51.5222827028016,-0.111621226895611 51.5223144682731,-0.111605058128386 51.5223289514961)",46042504,Defined By Custodian,4/9/17 23:31,1455
